stat,data,sep,sephp,nsep,nsephp
Mean,1.98,6.73,5.21,5.49,4.98
SD,2.30,2.17,7.73,1.29,3.37
Min,-3.59,-0.18,-18.35,1.25,-7.96
Max,9.95,11.92,26.92,8.86,16.69
Corr,---,0.020,-0.098,0.065,-0.058
