nu,phi,ymin,ymax,mean,std,min,max,corr,coef,se
1,0,0,20,5.47938787137746,28.2414073420451,-71.2428174460122,64.010283420425,0.204980152652556,1.4130528423303,1.71563434668844
1,0.8,-100,150,-6.02391855713179,179.672018166944,-546.412513131928,344.709860829777,0.0411617954008652,0.747036925154336,10.5321464392259
0.34,0,0,20,5.72120948729432,19.0091257741445,-45.2296311862888,45.6293301377109,0.207498392591817,0.55478759358083,1.14842287494397
0.34,0.8,0,20,4.27035942494538,66.4567190956277,-177.455737668756,147.036363794859,0.0611967788880038,-0.033850428157508,3.88962208911637
