nu,phi,ymin,ymax,mean,std,min,max,corr,coef,se
1,0,-5,15,2.99015163108844,28.4099633963693,-73.8978806919539,61.1059984989247,0.0115782630352145,1.4402019346934,1.75416791460742
1,0.8,-100,150,-8.57972694458662,179.764104117705,-549.111869792242,341.770238968644,-0.107502356568427,0.789020626710449,10.5693349079876
0.34,0,-5,15,3.24136108700396,19.1658113799368,-47.8753065922312,42.7344330562087,0.0143406287432258,0.586251495669273,1.18748700645149
0.34,0.8,-5,15,1.76919387662857,66.5668810066081,-180.119777794215,144.184622561705,-0.0898044023122295,0.0111662214176865,3.93013833048672
