stat,data,sep,sephp,nsep,nsephp
Mean,5.87,10.62,9.10,9.39,8.88
SD,3.05,1.85,7.48,1.71,3.33
Min,1.00,6.58,-7.47,5.78,2.63
Max,16.37,16.83,30.87,14.03,21.60
Corr,---,0.255,0.030,0.563,0.225
