-.0092085,
 .0600151,
   .05766,
 -.356792,
 .1354961,
 -.040465,
-2.105381,
 1.30e-13,
 9.54e-17,
 1.22e-15,
-6.04e-14,
 8.88e-15,
 1.34e-16,
-4.35e-14,
 1.60e-13,
-8.33e-17,
-5.55e-16,
 1.24e-14,
-7.28e-14,
 1.82e-16,
 4.62e-14,
 9.24e-14,
 1.61e-16,
-1.11e-16,
-1.60e-14,
 3.73e-14,
-7.98e-17,
-4.71e-14,


