 .0204831,
  .018725,
 .0135268,
 -.234381,
 .2758922,
-.0403692,
-2.253239,
-1.78e-14,
-3.30e-16,
 1.22e-15,
 8.53e-14,
-1.37e-13,
-4.16e-16,
 7.90e-14,
-1.60e-14,
-6.78e-16,
-2.11e-15,
 7.28e-14,
 1.49e-13,
-1.90e-15,
-1.60e-13,
 6.39e-14,
 6.52e-16,
 1.22e-15,
-8.88e-15,
 5.86e-14,
 3.23e-16,
-5.77e-14,


