 1.684935,
 .0170432,
 .2525862,
 1.971014,
  2.48547,
-.0082066,
 5.423788,
-2.75e-14,
-1.99e-16,
-4.44e-16,
        0,
 1.07e-14,
-2.69e-16,
 8.88e-14,
-3.20e-14,
-7.68e-16,
 2.78e-15,
 1.60e-14,
-2.49e-14,
 1.77e-15,
-3.55e-15,
 1.78e-15,
-5.44e-16,
 3.33e-16,
-1.60e-14,
 1.07e-14,
-1.46e-15,
-1.64e-13,


