nu,phi,ymin,ymax,mean,std,min,max,corr,coef,se
1,0,-5,15,6.60778420962119,2.16198316971351,-0.525503307444063,11.1280604970823,0.0551980726397908,-0.500377286758521,0.0613068506910913
1,0.8,-100,150,4.97575187783046,6.94031819732974,-20.3782579627005,25.7076894448752,-0.0751069378302702,-1.03965762859069,0.196397000980704
0.34,0,-5,15,5.42270567709256,1.25567917868311,1.05928515109928,8.24111008585014,0.099158231369929,-0.400182433959549,0.0505617348526773
0.34,0.8,-5,15,4.8477453392549,3.09641033137165,-8.72814190173097,15.0399420630278,-0.0201824741072451,-0.668788550479646,0.10777331912919
