source,alpha,phi,nu,real,mean,std,min,max,corr,coef,se
cex-nonbondholders,2,0,1,0,6.03995310250404,14.638798451046,-30.3667676399143,49.1488972876966,-0.102722779554149,-1.92755868922823,0.945938046882383
cex-nonbondholders,2,0,1,1,3.59952913514928,15.0418400480014,-33.7394661364604,50.6267494009905,0.26770436368335,-1.97012314172982,0.915224130167766
cex-nonbondholders,1,0,1,0,5.75990370068905,7.16917150991226,-11.9773194059241,25.3552377529612,-0.0950334407459076,-1.30418656124678,0.484970048758729
cex-nonbondholders,1,0,1,1,3.31556773333419,7.5209200240007,-15.3539299024707,26.8291778662548,0.267704363683349,-1.34946945683212,0.45922672304511
cex-nonbondholders,0.5,0,1,0,5.59715399978096,3.5173141270284,-2.80532028892994,14.6924292735556,-0.0767908440815704,-0.933976397833928,0.263172127121355
cex-nonbondholders,0.5,0,1,1,3.1508620324263,3.76046001200035,-6.1838867854762,14.9076670988866,0.267704363683347,-0.98611494352986,0.247690075446546
cex-nonbondholders,0.1,0,1,0,5.45604623905494,1.23053125705416,-0.235883617384265,7.96194852377646,0.0478438000529609,-0.57373210235225,0.106010166229368
cex-nonbondholders,0.1,0,1,1,3.00818947170019,0.752092002400089,1.14123970811961,5.35955048499224,0.26770436368335,-0.551952838938037,0.137209358515325
