source,alpha,phi,nu,real,mean,std,min,max,corr,coef_spread,se_spread
data,,,,0,5.10716827695495,3.39273148265889,0.0699755080000024,16.37332,,,
data,,,,1,1.49995535654054,2.53572196359095,-4.20622047200002,9.95132199999998,,,
nipa,2,0,1,0,9.79933999607839,2.33426041782317,-0.156700215061483,15.2353296786438,0.550559266355802,-0.250635598445461,0.0346087900297937
nipa,2,0,1,1,6.18824322596341,2.01212117332315,0.726973605980442,11.0382638280023,0.218822400870104,-0.259159897080337,0.0382208348011273
nipa,2,0.8,1,0,546.671010314255,2.73395256339397,530.697995534705,555.947441995999,0.596977985475168,-0.393825914149785,0.0549225465623511
nipa,2,0.8,1,1,543.060462971032,1.95790707692497,531.58220373164,548.609133806334,0.147997403737663,-0.3325404207943,0.0570009423845728
nipa,2,0,0.34,0,8.7683044022468,1.97233246337593,1.67544237898984,13.9297331601107,0.733018083145627,-0.252059098846098,0.0285510277439929
nipa,2,0,0.34,1,5.15751598413252,1.1360281053602,2.19845906854493,7.8632081045578,0.304482472311602,-0.252065136054398,0.0339371728421335
nipa,2,0.8,0.34,0,514.547011846423,2.615474529193,505.74264164236,519.869969372737,0.0640374237212248,-0.406956769173669,0.0532644778689323
nipa,2,0.8,0.34,1,510.937074878973,2.90117517131291,502.797632893436,516.468804377438,-0.187484912674581,-0.382958191726742,0.0553388811673846
