source,alpha,phi,nu,real,mean,std,min,max,corr,coef_spread,se_spread,corr_collard,coef_spread_collard,se_spread_collard
cex-bondholders,2,0,1,0,5.95766207726257,24.8717958968039,-50.9908719864362,65.3979806879278,0.16284285834573,1.12011984445555,1.43023944654121,,,
cex-bondholders,2,0,1,1,3.50909796407107,24.9712945272785,-54.5409149130662,63.4157964858141,0.235237803312457,1.15994712551053,1.41855536139322,,,
cex-bondholders,1,0,1,0,5.80033626098672,12.4198067318317,-22.1231913641432,35.2873056107808,0.16818139672203,-0.00429358908160874,0.712445239042303,,,
cex-bondholders,1,0,1,1,3.34653214779467,12.4856472636393,-25.6784742907739,33.2998814086662,0.235237803312457,0.036315817222009,0.702795026699505,,,
cex-bondholders,0.5,0,1,0,5.64181335284862,6.24442343310848,-7.76921105299696,20.1521080722069,0.177450089447328,-0.471517600099493,0.375709202652331,,,
cex-bondholders,0.5,0,1,1,3.1853892396567,6.24282363181963,-11.3271139796275,18.1620638700924,0.235237803312457,-0.433482805433686,0.369973224808154,,,
cex-bondholders,0.2,0,1,0,5.52114440796586,2.69285942588597,-1.49956607334244,11.0454343490628,0.192973061980811,-0.549429379443864,0.199472593832815,,,
cex-bondholders,0.2,0,1,1,3.06314829477391,2.49712945272786,-2.74185299293974,9.05381814694831,0.23523780331245,-0.526981882943621,0.204452325581754,,,
