 3.352528,
 .1710564,
 .8653529,
-.3051271,
-.3952061,
-.0455627,
 .0715981,
-8.88e-15,
-3.78e-15,
 1.55e-15,
 3.20e-14,
 1.92e-13,
-8.41e-17,
-6.39e-14,
 6.57e-14,
-2.79e-16,
 9.33e-15,
-8.88e-14,
-4.97e-14,
-8.13e-15,
 2.10e-13,
 4.09e-14,
 4.00e-15,
 6.33e-15,
 1.19e-13,
-1.24e-13,
 3.54e-15,
 7.40e-13,


