nu,phi,ymin,ymax,mean,std,min,max,corr,coef,se
1,0,0,20,6.24113515876313,15.6668581976551,-27.3910646192966,42.1155038343664,0.0240882447887092,-0.501008299792303,0.877366235400027
1,0.8,-100,150,2.77085690212982,89.3312364898853,-203.88418445131,193.821277064619,0.013032353037376,-1.13063341496687,4.57536293132346
0.34,0,0,20,6.13213890804622,10.2887033695303,-16.0600993604695,30.000997317238,0.0196709845374135,-0.633530698326972,0.59243171395232
0.34,0.8,0,20,5.56351145729067,34.2602287953748,-73.8413209851957,81.1818235206062,0.0182928709172957,-0.980434069906511,1.81934781361295
