nu,phi,ymin,ymax,mean,std,min,max,corr,coef,se
1,0,-5,15,3.76474873177101,16.1334648850308,-31.9634010133263,40.6792639544357,0.268377826181018,-0.440752211841199,0.861408541810465
1,0.8,-100,150,0.323230017812015,89.699942961107,-208.4305751837,192.421199077831,0.196998574870256,-1.094503201812,4.56149460986361
0.34,0,-5,15,3.65461754505266,10.726917363995,-20.6335706905008,28.5636225013052,0.260533407066172,-0.568838299851241,0.576773238863135
0.34,0.8,-5,15,3.09487437740566,34.6325037210323,-78.4062561264615,79.7539942169672,0.204396622913612,-0.942345417531557,1.80549007332688
