5.1453,1.7748,3.4834,2.2898
5.1453,2.9181,7.673,6.8751
5.373,3.7059,5.5407,3.4776
5.3825,3.7843,7.5426,5.6622
5.3636,3.6264,1.7158,0.59145
5.373,4.9667,5,4.6356
5.3541,4.0917,2.5792,0.26243
5.3825,3.5358,7.4555,5.0823
4.7456,3.0915,6.1868,3.7234
4.6215,2.8673,10.056,7.6203
4.6406,1.8706,2.3139,-0.25503
4.9742,2.2815,7.6799,4.3816
5.1643,2.0277,5.2206,1.856
5.5245,1.4888,6.0811,4.2437
6.0813,3.8026,2.5926,0.87089
6.3163,3.0776,3.9851,0.52309
6.2693,3.5543,6.7854,3.5084
5.4488,2.128,5.8102,1.9424
4.2389,1.591,7.5939,4.8463
3.4401,2.6784,6.8856,5.3987
2.1076,1.4993,5.8589,4.1693
1.7152,0.34365,6.4052,3.6802
1.7349,-2.0964,0.55751,-1.645
1.725,-0.89171,4.8473,1.965
1.4297,-1.0976,3.5748,1.0077
1.2423,-2.7733,7.3885,4.7988
1.2423,0.18707,9.4327,7.2774
1.0148,-2.4131,6.4353,3.3
0.99503,-1.4207,8.519,6.4196
0.99503,-2.5475,0.81762,-2.7419
1.0049,-2.2611,4.3451,1.7767
1.4199,-1.6962,4.6674,2.5692
1.9312,-1.5971,6.7567,3.7728
2.44,-0.055889,8.4499,3.5264
2.8976,-0.2195,8.5244,3.1976
3.4015,-2.0277,8.3452,4.1346
3.9028,0.19328,9.4857,5.8621
4.3538,2.006,6.6171,3.3325
4.7933,1.037,5.862,3.7794
5.1168,1.6203,8.1465,6.6031
5.1073,5.5269,10.877,7.7218
5.1168,0.6014,5.4879,0.95854
5.1168,1.2655,8.5416,5.0625
4.9457,2.0155,4.0628,0.95268
4.4017,-0.34546,5.0261,2.2039
3.1305,-0.86461,6.54,2.5972
2.0587,-3.0467,3.8874,1.9723
1.9214,-2.7213,-1.4996,0.95759
0.5087,6.644,3.1449,4.9739
0.17984,2.4614,1.2942,-1.3798
0.17984,-1.8839,3.8017,2.3056
0.14989,-2.9712,5.1988,1.0665
0.11993,-2.742,5.6427,3.8621
0.12992,-1.5722,3.0058,1.6538
0.18982,-0.58824,5.4898,3.3648
0.18982,-1.4276,2.5167,-1.1073
0.18982,-2.4251,8.4958,3.8645
0.14989,-3.2602,5.8744,2.9566
0.08996,-4.2062,3.3096,1.1307
0.079968,-2.3607,11.045,9.0538
0.069976,-1.7344,6.6313,4.6105
0.09995,-2.5947,6.9968,5.213
0.14989,-1.4289,5.4486,3.6744
0.1399,-1.6101,0.80835,-0.68843
0.15987,-2.427,0.028562,-2.1983
