year,month,day,log_consumption,inflation,scaled_leisure_pct,log_rdi,log_nonconsumption,ffr,cci,log_consumption_1,inflation_1,scaled_leisure_pct_1,log_rdi_1,log_nonconsumption_1,ffr_1,cci_1,log_consumption_2,inflation_2,scaled_leisure_pct_2,log_rdi_2,log_nonconsumption_2,ffr_2,cci_2,log_consumption_3,inflation_3,scaled_leisure_pct_3,log_rdi_3,log_nonconsumption_3,ffr_3,cci_3
1963,10,1,9.7528696,.0022225697,.66334379,9.9039831,9.3909025,.0084795542,4.6771188,9.7485027,.0043035992,.66419804,9.8920088,9.39013,.0081893904,4.6595635,9.738018,.00024828213,.66329753,9.8851318,9.3680849,.0072925943,4.6467919,9.7339373,.00362632,.66519183,9.8801994,9.3528366,.0073168743,4.6318121
1964,1,1,9.7649679,.0052671945,.65937918,9.9192228,9.415369,.0085037202,4.6958332,9.7528696,.0022225697,.66334379,9.9039831,9.3909025,.0084795542,4.6771188,9.7485027,.0043035992,.66419804,9.8920088,9.39013,.0081893904,4.6595635,9.738018,.00024828213,.66329753,9.8851318,9.3680849,.0072925943,4.6467919
1964,4,1,9.776475,.0036082657,.65617871,9.9417315,9.4179554,.0085762013,4.6705832,9.7649679,.0052671945,.65937918,9.9192228,9.415369,.0085037202,4.6958332,9.7528696,.0022225697,.66334379,9.9039831,9.3909025,.0084795542,4.6771188,9.7485027,.0043035992,.66419804,9.8920088,9.39013,.0081893904,4.6595635
1964,7,1,9.7872782,.0044853082,.65813148,9.9502449,9.4248209,.0085037202,4.6264424,9.776475,.0036082657,.65617871,9.9417315,9.4179554,.0085762013,4.6705832,9.7649679,.0052671945,.65937918,9.9192228,9.415369,.0085037202,4.6958332,9.7528696,.0022225697,.66334379,9.9039831,9.3909025,.0084795542,4.6771188
1964,10,1,9.7925978,.0031338648,.65830201,9.9571428,9.4150143,.0087935189,4.6618342,9.7872782,.0044853082,.65813148,9.9502449,9.4248209,.0085037202,4.6264424,9.776475,.0036082657,.65617871,9.9417315,9.4179554,.0085762013,4.6705832,9.7649679,.0052671945,.65937918,9.9192228,9.415369,.0085037202,4.6958332
1965,1,1,9.7992067,.0035424593,.65513974,9.9646549,9.4546719,.0097570969,4.6417913,9.7925978,.0031338648,.65830201,9.9571428,9.4150143,.0087935189,4.6618342,9.7872782,.0044853082,.65813148,9.9502449,9.4248209,.0085037202,4.6264424,9.776475,.0036082657,.65617871,9.9417315,9.4179554,.0085762013,4.6705832
1965,4,1,9.8084078,.0059900526,.65397245,9.9718657,9.4646549,.0099974116,4.6354084,9.7992067,.0035424593,.65513974,9.9646549,9.4546719,.0097570969,4.6417913,9.7925978,.0031338648,.65830201,9.9571428,9.4150143,.0087935189,4.6618342,9.7872782,.0044853082,.65813148,9.9502449,9.4248209,.0085037202,4.6264424
1965,7,1,9.8191347,.0053618196,.65364814,9.9956045,9.4899273,.0099974116,4.5977426,9.8084078,.0059900526,.65397245,9.9718657,9.4646549,.0099974116,4.6354084,9.7992067,.0035424593,.65513974,9.9646549,9.4546719,.0097570969,4.6417913,9.7925978,.0031338648,.65830201,9.9571428,9.4150143,.0087935189,4.6618342
1965,10,1,9.8391638,.0062051024,.6522646,10.012177,9.5098143,.010213499,4.6263442,9.8191347,.0053618196,.65364814,9.9956045,9.4899273,.0099974116,4.5977426,9.8084078,.0059900526,.65397245,9.9718657,9.4646549,.0099974116,4.6354084,9.7992067,.0035424593,.65513974,9.9646549,9.4546719,.0097570969,4.6417913
1966,1,1,9.8457279,.0092384713,.65089726,10.019353,9.5522003,.011147721,4.6574779,9.8391638,.0062051024,.6522646,10.012177,9.5098143,.010213499,4.6263442,9.8191347,.0053618196,.65364814,9.9956045,9.4899273,.0099974116,4.5977426,9.8084078,.0059900526,.65397245,9.9718657,9.4646549,.0099974116,4.6354084
1966,4,1,9.8532152,.008847204,.65068758,10.01913,9.5451002,.011983163,4.6715198,9.8457279,.0092384713,.65089726,10.019353,9.5522003,.011147721,4.6574779,9.8391638,.0062051024,.6522646,10.012177,9.5098143,.010213499,4.6263442,9.8191347,.0053618196,.65364814,9.9956045,9.4899273,.0099974116,4.5977426
1966,7,1,9.8581448,.0080959015,.65079093,10.028397,9.5484209,.01317183,4.6896954,9.8532152,.008847204,.65068758,10.01913,9.5451002,.011983163,4.6715198,9.8457279,.0092384713,.65089726,10.019353,9.5522003,.011147721,4.6574779,9.8391638,.0062051024,.6522646,10.012177,9.5098143,.010213499,4.6263442
1966,10,1,9.8614349,.0067267162,.65056789,10.036945,9.5570536,.013527331,4.6555781,9.8581448,.0080959015,.65079093,10.028397,9.5484209,.01317183,4.6896954,9.8532152,.008847204,.65068758,10.01913,9.5451002,.011983163,4.6715198,9.8457279,.0092384713,.65089726,10.019353,9.5522003,.011147721,4.6574779
1967,1,1,9.8679848,.004148806,.65423262,10.048421,9.5618935,.011768602,4.6398616,9.8614349,.0067267162,.65056789,10.036945,9.5570536,.013527331,4.6555781,9.8581448,.0080959015,.65079093,10.028397,9.5484209,.01317183,4.6896954,9.8532152,.008847204,.65068758,10.01913,9.5451002,.011983163,4.6715198
1967,4,1,9.8731575,.0044449577,.65585411,10.052498,9.5480213,.009781139,4.6131382,9.8679848,.004148806,.65423262,10.048421,9.5618935,.011768602,4.6398616,9.8614349,.0067267162,.65056789,10.036945,9.5570536,.013527331,4.6555781,9.8581448,.0080959015,.65079093,10.028397,9.5484209,.01317183,4.6896954
1967,7,1,9.8769875,.0076374672,.65437186,10.056945,9.5514812,.0095406156,4.6131382,9.8731575,.0044449577,.65585411,10.052498,9.5480213,.009781139,4.6131382,9.8679848,.004148806,.65423262,10.048421,9.5618935,.011768602,4.6398616,9.8614349,.0067267162,.65056789,10.036945,9.5570536,.013527331,4.6555781
1967,10,1,9.8795023,.0077260719,.65392852,10.059637,9.5563126,.010213499,4.6051702,9.8769875,.0076374672,.65437186,10.056945,9.5514812,.0095406156,4.6131382,9.8731575,.0044449577,.65585411,10.052498,9.5480213,.009781139,4.6131382,9.8679848,.004148806,.65423262,10.048421,9.5618935,.011768602,4.6398616
1968,1,1,9.8922834,.011791413,.65690517,10.072675,9.5772429,.01169704,4.601162,9.8795023,.0077260719,.65392852,10.059637,9.5563126,.010213499,4.6051702,9.8769875,.0076374672,.65437186,10.056945,9.5514812,.0095406156,4.6131382,9.8731575,.0044449577,.65585411,10.052498,9.5480213,.009781139,4.6131382
1968,4,1,9.9033165,.010270011,.65327489,10.085844,9.5937862,.014520053,4.6101575,9.8922834,.011791413,.65690517,10.072675,9.5772429,.01169704,4.601162,9.8795023,.0077260719,.65392852,10.059637,9.5563126,.010213499,4.6051702,9.8769875,.0076374672,.65437186,10.056945,9.5514812,.0095406156,4.6131382
1968,7,1,9.9129562,.010793519,.65451264,10.084201,9.5879049,.014449274,4.5757413,9.9033165,.010270011,.65327489,10.085844,9.5937862,.014520053,4.6101575,9.8922834,.011791413,.65690517,10.072675,9.5772429,.01169704,4.601162,9.8795023,.0077260719,.65392852,10.059637,9.5563126,.010213499,4.6051702
1968,10,1,9.9156694,.010530856,.65558028,10.086242,9.5833921,.014378477,4.5736794,9.9129562,.010793519,.65451264,10.084201,9.5879049,.014449274,4.5757413,9.9033165,.010270011,.65327489,10.085844,9.5937862,.014520053,4.6101575,9.8922834,.011791413,.65690517,10.072675,9.5772429,.01169704,4.601162
1969,1,1,9.9207602,.010727122,.65462524,10.083801,9.6024647,.015907966,4.6131382,9.9156694,.010530856,.65558028,10.086242,9.5833921,.014378477,4.5736794,9.9129562,.010793519,.65451264,10.084201,9.5879049,.014449274,4.5757413,9.9033165,.010270011,.65327489,10.085844,9.5937862,.014520053,4.6101575
1969,4,1,9.9256716,.012681321,.65451944,10.090685,9.5936031,.020002984,4.6210437,9.9207602,.010727122,.65462524,10.083801,9.6024647,.015907966,4.6131382,9.9156694,.010530856,.65558028,10.086242,9.5833921,.014378477,4.5736794,9.9129562,.010793519,.65451264,10.084201,9.5879049,.014449274,4.5757413
