 1.187284,-.1212906,-.1527182,-.0631065, .0658078, .1465136,-.0417843,-.2217306,-.1048847,-.0859492, .1172588, .1172638,
 .1755231, .5895441,-.1248578,-.2214011,  .081504, .1679585, .0017262, .1883383, .0311456, .0436152, .0363547,-.0822852,
-.1368285,-.0615127, 1.167694, .0532587, .0173187,-.2766695, .0411701, .0236038, .0962879,  .042509, .0527823,-.0436705,
        1, 3.99e-13,-4.21e-14,-2.62e-12,-3.56e-13,-4.03e-13, 1.41e-12,-1.58e-13, 3.10e-13,-1.26e-14, 1.84e-13, 9.00e-14,
 6.54e-16,        1,-2.75e-16,-3.08e-16, 3.11e-16,-4.83e-17,-1.84e-15,-6.76e-16,-1.76e-16, 1.49e-15, 3.87e-16, 3.96e-16,
-5.43e-16,-2.49e-16,        1, 5.68e-15, 7.05e-16, 1.35e-14,-1.12e-15, 9.99e-16,-2.28e-14,-3.99e-15,-4.84e-16, 8.49e-15,
 1.22e-12, 2.83e-13, 4.90e-13,        1,-1.27e-13,-4.96e-13, 6.25e-13,-1.23e-13, 2.47e-14,-2.29e-14, 1.34e-13, 1.98e-16,
-1.34e-15, 2.06e-16,-2.24e-15, 4.81e-17,        1, 2.41e-15, 1.70e-15,-4.73e-16,-9.02e-16,-4.16e-16, 1.85e-16, 6.05e-16,
-1.05e-14, 2.12e-16,-9.34e-15, 5.85e-15,-5.41e-15,        1, 2.40e-14, 5.79e-15,-1.12e-14,-1.93e-14,-8.84e-16,-1.37e-15,
 2.01e-13, 8.57e-14, 3.68e-13,-2.40e-13,-1.32e-13,-8.35e-15,        1, 1.53e-13, 2.06e-14,-6.63e-13, 5.32e-15,-3.08e-13,
-4.83e-15,-2.06e-15,-1.41e-15, 1.20e-14, 2.42e-15, 1.68e-15,-1.25e-14,        1,-2.32e-15, 5.35e-15,-1.00e-15, 1.84e-15,
-7.23e-15,-6.31e-16,-9.21e-15, 3.93e-15,-1.88e-15, 7.01e-15, 5.46e-15, 1.39e-15,        1,-2.19e-15,-2.44e-16, 1.33e-15,


