 .0000156,-1.81e-06,-1.58e-06,-4.06e-19,-5.27e-24,-1.44e-20, 4.80e-19, 1.59e-22,-6.08e-21,-1.14e-19, 5.44e-22,-6.95e-22,
-1.81e-06, .0000129,-6.42e-07,-2.43e-19,-4.06e-22,-4.13e-20,-3.35e-19,-1.91e-22,-1.34e-20,-5.03e-20,-1.59e-22, 9.25e-21,
-1.58e-06,-6.42e-07, 2.84e-06, 1.30e-20,-2.68e-22,-5.73e-21,-1.54e-19,-2.38e-22, 9.06e-21,-1.14e-19,-4.33e-24, 1.88e-21,
-4.06e-19,-2.43e-19, 1.30e-20, 4.65e-29, 7.00e-33,-1.31e-31, 3.04e-29,-1.93e-33,-1.20e-31, 2.11e-30,-1.89e-31, 8.92e-33,
-5.27e-24,-4.06e-22,-2.68e-22, 7.00e-33, 4.03e-35,-6.18e-36, 9.42e-33,-2.23e-35,-4.69e-34,-1.11e-32, 8.18e-35,-1.18e-34,
-1.44e-20,-4.13e-20,-5.73e-21,-1.31e-31,-6.18e-36, 1.18e-32,-5.71e-32,-5.17e-35,-8.37e-34, 5.35e-32, 3.10e-34,-2.40e-33,
 4.80e-19,-3.35e-19,-1.54e-19, 3.04e-29, 9.42e-33,-5.71e-32, 2.75e-29,-1.52e-32,-1.87e-31, 3.11e-30,-1.27e-31,-5.71e-32,
 1.59e-22,-1.91e-22,-2.38e-22,-1.93e-33,-2.23e-35,-5.17e-35,-1.52e-32, 6.53e-35, 4.30e-34,-1.99e-33,-4.59e-35, 1.99e-34,
-6.08e-21,-1.34e-20, 9.06e-21,-1.20e-31,-4.69e-34,-8.37e-34,-1.87e-31, 4.30e-34, 1.52e-32, 1.12e-31,-8.38e-34, 2.51e-33,
-1.14e-19,-5.03e-20,-1.14e-19, 2.11e-30,-1.11e-32, 5.35e-32, 3.11e-30,-1.99e-33, 1.12e-31, 9.17e-30,-6.21e-32,-2.50e-32,
 5.44e-22,-1.59e-22,-4.33e-24,-1.89e-31, 8.18e-35, 3.10e-34,-1.27e-31,-4.59e-35,-8.38e-34,-6.21e-32, 1.26e-33,-8.34e-35,
-6.95e-22, 9.25e-21, 1.88e-21, 8.92e-33,-1.18e-34,-2.40e-33,-5.71e-32, 1.99e-34, 2.51e-33,-2.50e-32,-8.34e-35, 4.85e-33,


