 .0360288,
 .0114224,
 .0373098,
 1.95e-14,
 7.46e-17,
-7.77e-16,
-5.15e-14,
 1.82e-16,
-6.66e-16,
-8.17e-14,
 2.97e-16,
 7.77e-16,


